YeLing7,yuelunyang,190,1
YeLing7,jjpprrrr,190,1
yuelunyang,jjpprrrr,200,1
jlcdev,Portal-P,340,1
jlcdev,Niles_XIII,340,1
Portal-P,Niles_XIII,190,1
rohlfing,galval28,200,1
rohlfing,steveman1123,200,1
galval28,steveman1123,240,1
jenniferqian,ayc3ue,190,1
eddiejiao,adevor,240,1
eddiejiao,laurho,240,1
adevor,laurho,200,1
spencersyen,yuanmonkey,190,1
spencersyen,connorlin,190,1
yuanmonkey,connorlin,350,1
Theo-,ruoyutao,250,1
huyle333,dmpei,350,1
huyle333,mikelagoma,350,1
williamqin,samueldsun,200,1
heidihuang,kelvinfcho,200,1
heidihuang,ericschade,200,1
kelvinfcho,ericschade,200,1
lalaninatl,Penguinologist,190,1
lalaninatl,tzhang13,190,1
QuadmasterXLII,floryst_,190,1
devchuk,Flak,200,1
danielana,iYung,250,1
danielana,michaelburgess96,250,1
iYung,michaelburgess96,350,1
mgirouard23,AndrewOgren,250,1
kibowman,mspettel,190,1
kibowman,tjong1998,190,1
takashiw,mcgomez,250,1
davei1,croissant,350,1
davei1,adamkchew,350,1
croissant,adamkchew,250,1
0legg,charuzard,350,1
0legg,kattim,350,1
charuzard,kattim,200,1
AdamMcNeilly,xade,250,1
AdamMcNeilly,sirhype,250,1
xade,sirhype,350,1
GlennRen,zeusingy,350,1
GlennRen,brandongrinkemeyer,350,1
zeusingy,brandongrinkemeyer,240,1
OliviaOng,zyq092893,190,1
Esting610,heyellieday,250,1
Esting610,NogaRaviv,250,1
cwtausif,hmxa,350,1
ahsanfarooqui,NoumanZeb,350,1
turbomaze,loganengstrom,200,1
paulsonnentag,timgrossmann,250,1
sharadbags,mattprivman,250,1
sharadbags,markabachman,250,1
mattprivman,markabachman,200,1
markoblad,citynorman,200,1
thesamster,shankar2196,190,1
thesamster,chchengg,190,1
shankar2196,chchengg,200,1
chenbill96,mdimic,350,1
chenbill96,VeljkoDimic,350,1
mdimic,VeljkoDimic,250,1
iYung,CaraYung,350,1
iYung,Coogrr,350,1
CaraYung,Coogrr,200,1
RBdevelop,brennen,200,1
0x60,ThomasMChen,200,1
abril427,harshita-gupta,250,1
mray190,ackersean03,250,1
mray190,dkonik,250,1
ackersean03,dkonik,200,1
cozma,lconti97,250,1
cozma,akshaytech,250,1
lconti97,akshaytech,190,1
samshadwell,DnlRKorn,200,1
samshadwell,CryoBrown,200,1
DnlRKorn,CryoBrown,190,1
pranavharathi,ianjjohnson,240,1
pranavharathi,caiismyname,240,1
ianjjohnson,caiismyname,190,1
gavy,abiramikv,250,1
luochenhuan,peterchu,250,1
AroundTheLines,exme,250,1
AroundTheLines,shanpruthi,250,1
exme,shanpruthi,350,1
IanOlin,poosomooso,190,1
IanOlin,JaredBriskman,190,1
poosomooso,JaredBriskman,190,1
MakePLAN,robertwu,200,1
brianyang,hunterboybrian,250,1
brianyang,nicholaswalsh,250,1
hunterboybrian,nicholaswalsh,200,1
JessGillan,Khorn,190,1
JessGillan,Jadeswordy,190,1
Khorn,Jadeswordy,190,1
omgimanerd,noobbyte,350,1
omgimanerd,HowYellow,350,1
noobbyte,HowYellow,340,1
chrisgervang,jake-g,200,1
chrisgervang,APuri,200,1
jake-g,APuri,190,1
japesinator,ehennenfent,250,1
japesinator,ianklatzco,250,1
ehennenfent,ianklatzco,190,1
clemon,Kesav,190,1
clemon,ChrisZelazo,190,1
Kesav,ChrisZelazo,200,1
sylvester,buiducanh,200,1
sylvester,stephenhuh,200,1
buiducanh,stephenhuh,250,1
mystor,jpittis,200,1
mystor,maxbittker,200,1
jpittis,maxbittker,200,1
kfrankc,Ruthjohnson,350,1
indersingh,RitwikSaikia,200,1
Ben4132L,iantuioti,190,1
Ben4132L,cindyluu,190,1
iantuioti,cindyluu,190,1
josephkhawly,imshivs,350,1
josephkhawly,AllenOsgood,350,1
imshivs,AllenOsgood,190,1
Kuroba,neery1218,200,1
Kuroba,jeffreyxiao,200,1
neery1218,jeffreyxiao,250,1
nickforall,boltgolt,350,1
nickforall,notSufi,350,1
boltgolt,notSufi,250,1
janvi,vickishaw94,250,1
janvi,tinaho94,250,1
vickishaw94,tinaho94,350,1
Benolds,DhruvPuru,350,1
devinmancuso,justintfrost,350,1
blockbase,lerigner,190,1
blockbase,CrisPSN,190,1
lerigner,CrisPSN,190,1
minos,sophiaxu,350,1
stevehan,satjot,200,1
stevehan,gibsonhu,200,1
satjot,gibsonhu,190,1
joelcook,kenton,190,1
Kevin6766W,pmckee,200,1
tandles,syclik,250,1
tandles,brokenpipe,250,1
syclik,brokenpipe,190,1
weekOff,ngzhian,350,1
weekOff,chewmarilyn,350,1
Nesh108,chandanjog,340,1
preichenberger,superplasticmilk,190,1
preichenberger,swarmnyc,190,1
superplasticmilk,swarmnyc,250,1
chrisnager,clintonhalpin,350,1
chrisnager,iamnickvolpe,350,1
clintonhalpin,iamnickvolpe,200,1
Jessicardo,Ruworks,250,1
Jessicardo,Jas3TheAce,250,1
Ruworks,Jas3TheAce,340,1
Mingling94,hadios,250,1
qwertyflagstop,DavisFoster,200,1
qwertyflagstop,walshie4,200,1
DavisFoster,walshie4,250,1
angeqyang,tre23,250,1
angeqyang,Kairi700,250,1
tre23,Kairi700,250,1
Shrugs,benzweig,350,1
Shrugs,bd452,350,1
sehmon3,Andyval1,250,1
kwokh,neilparikh,250,1
kwokh,ArkadyArk,250,1
AliA5,MuhammadUbaid,250,1
AliA5,amnamajid76,250,1
MuhammadUbaid,amnamajid76,200,1
JonathanKau,JustinHo,200,1
JonathanKau,simplyianm,200,1
yousufmsoliman,yeongwoo,350,1
yousufmsoliman,carolinehermans,350,1
yeongwoo,carolinehermans,250,1
aryasolhi,ryanmarks,250,1
aryasolhi,kgoforth,250,1
ryanmarks,kgoforth,250,1
ArkadyArk,ziembaje,250,1
ArkadyArk,mattleyland,250,1
ziembaje,mattleyland,250,1
xuanji,linksku,250,1
xuanji,jamarshon,250,1
linksku,jamarshon,200,1
renemiller3,Jkalas,250,1
renemiller3,keelerh,250,1
Jkalas,keelerh,200,1
crosset2,matthewige,200,1
choicefresh,parisa_kianmajd,350,1
choicefresh,gkowligi,350,1
parisa_kianmajd,gkowligi,250,1
jeradesign,johnsokol,250,1
nickihm,emilyduong,200,1
nickihm,msgrasser,200,1
emilyduong,msgrasser,200,1
Arbixal,KennardConsulting,350,1
Arbixal,Megabyte,350,1
KennardConsulting,Megabyte,350,1
carlwoodward,philbrown,250,1
lowellbander,SearchSamara,350,1
lowellbander,smottley,350,1
SearchSamara,smottley,200,1
agola11,jbolling,350,1
agola11,tobrund,350,1
jbolling,tobrund,250,1
amaldona,shellguo95,350,1
amaldona,rishab96,350,1
shellguo95,rishab96,250,1
aalireza,vchan9,250,1
aalireza,skewerb,250,1
vchan9,skewerb,200,1
yousufmsoliman,yeongwoo,350,1
yousufmsoliman,carolinehermans,350,1
yeongwoo,carolinehermans,250,1
ijoosong,xuanji,350,1
slithytove2,peterklipfel,200,1
slithytove2,Seberius,200,1
peterklipfel,Seberius,250,1
air23zj,ffnc1020,200,1
air23zj,coolyw,200,1
ffnc1020,coolyw,200,1
ellipticaldoor,adhiwie,250,1
ellipticaldoor,gcasacuberta,250,1
adhiwie,gcasacuberta,250,1
siranachronist,mohammadadib,250,1
siranachronist,zimraanhamid,250,1
mohammadadib,zimraanhamid,250,1
harishankar,rahulrvp,200,1
harishankar,meeradshenoy,200,1
rahulrvp,meeradshenoy,200,1
longtran812,Rohan210,200,1
longtran812,clay-to-n,200,1
Rohan210,clay-to-n,200,1
elizabethylin,pkayfire,200,1
elizabethylin,emilychen55,200,1
pkayfire,emilychen55,250,1
mirai,takumi,250,1
eappel,blancotech,250,1
eappel,yorios9313,250,1
blancotech,yorios9313,250,1
collinglass,Spurrya,350,1
collinglass,eisforinnovate,350,1
Spurrya,eisforinnovate,200,1
CodeGary,wynd07,250,1
CodeGary,LingZhong,250,1
sidc93,priyadamico,200,1
zachlatta,aroman,200,1
zachlatta,Ginto8,200,1
nlazaris,jtmarmon,200,1
nlazaris,gregthegeek,200,1
jtmarmon,gregthegeek,200,1
ethernetdan,davidfurlong,200,1
chenliu,DavidASchonfeld,200,1
sammoore,paullee,250,1
sammoore,IsaiahJTurner,250,1
paullee,IsaiahJTurner,200,1
mray190,katelyndunaski,250,1
SamWhale,AlexxHD,250,0
SamWhale,midgetviper,250,0
AlexxHD,midgetviper,200,0
as12015,Db2515,200,0
as12015,rmurai0610,200,0
Db2515,rmurai0610,200,0
katiew812,Hammie217,190,0
katiew812,dmarshall2,190,0
Hammie217,dmarshall2,200,0
TeknoVenus,3DSMatt,250,0
TeknoVenus,HannLaw,250,0
3DSMatt,HannLaw,190,0
KarimKarimov,JamilAlisgandarov,340,0
KarimKarimov,wamilomarov,340,0
JamilAlisgandarov,wamilomarov,350,0
mistermh,MariusLichtblau,190,0
mistermh,bisbaldi,190,0
Lletfrix,knifecake,200,0
Lletfrix,baque27,200,0
knifecake,baque27,200,0
Matty-Horton,Schobs,190,0
Matty-Horton,gglea1,190,0
Schobs,gglea1,190,0
pradyumn014,famishedrover,190,0
pradyumn014,goyalarchit29,190,0
famishedrover,goyalarchit29,190,0
Innoavtive_coder,jainvatsal1137,200,0
Gauravano,sanchittanwar7,200,0
Gauravano,ankitbhardwaj78,200,0
sanchittanwar7,ankitbhardwaj78,200,0
AshutoshIIITD,arshilgenius,350,0
AshutoshIIITD,deepakgpt,350,0
arshilgenius,deepakgpt,250,0
rajagopal28,kvignsh,350,0
jw-han,mh-park,250,0
jw-han,RyanKoh,250,0
mh-park,RyanKoh,250,0
krish98sai,GSWarriors,200,0
krish98sai,aagarw13,200,0
GSWarriors,aagarw13,190,0
Meowstlin,sherinsteve,200,0
Meowstlin,alexhgh,200,0
sherinsteve,alexhgh,200,0
JonathanLin,monghimng,200,0
JonathanLin,garyli2198,200,0
monghimng,garyli2198,200,0
